Test	Confs. (features enabled)
tests.TestCombinations.checkWithModel(TestCombinations.java:134)	CUT_WHATEVER, LOGGING, PRECEDENCE
tests.TestCombinations.checkWithModel(TestCombinations.java:134)	CUT_NO_MANAGER, LOGGING
tests.TestCombinations.checkWithModel(TestCombinations.java:134)	CUT_NO_DEPARTMENT, LOGGING
tests.TestCombinations.checkWithModel(TestCombinations.java:134)	CUT_NO_DEPARTMENT, GUI
tests.TestCombinations.checkWithModel(TestCombinations.java:134)	CUT_NO_DEPARTMENT, GUI, LOGGING
tests.TestCombinations.checkWithModel(TestCombinations.java:134)	CUT_NO_DEPARTMENT, GUI, PRECEDENCE
tests.TestCombinations.checkWithModel(TestCombinations.java:134)	CUT_WHATEVER, GUI, LOGGING, PRECEDENCE
tests.TestCombinations.checkWithModel(TestCombinations.java:134)	CUT_WHATEVER, PRECEDENCE
tests.TestCombinations.checkWithModel(TestCombinations.java:134)	CUT_NO_MANAGER, PRECEDENCE
tests.TestCombinations.checkWithModel(TestCombinations.java:134)	CUT_NO_DEPARTMENT, PRECEDENCE
tests.TestCombinations.checkWithModel(TestCombinations.java:135)	TOTAL_REDUCER
tests.TestCombinations.checkWithModel(TestCombinations.java:135)	TOTAL_WALKER
