Test	Confs. (features enabled)
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:198)	DIRECTED, NUMBER
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:198)	UNDIRECTED
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:198)	CONNECTED, NUMBER, UNDIRECTED
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:198)	CONNECTED, UNDIRECTED
tests.MultiFeatureTest_Caio.NodeSearchBFS(MultiFeatureTest_Caio.java:198)	DIRECTED
tests.NumberTests_Caio.NumberFeatureBasics(NumberTests_Caio.java:35)	CONNECTED, UNDIRECTED
tests.NumberTests_Caio.NumberFeatureBasics(NumberTests_Caio.java:35)	UNDIRECTED
tests.NumberTests_Caio.NumberFeatureBasics(NumberTests_Caio.java:35)	DIRECTED
tests.TestSuite_NEW.test_addEdgeWt(TestSuite_NEW.java:300)	CONNECTED, UNDIRECTED
tests.TestSuite_NEW.test_addEdgeWt(TestSuite_NEW.java:300)	DIRECTED
tests.TestSuite_NEW.test_addEdgeWt(TestSuite_NEW.java:300)	DIRECTED, NUMBER
tests.TestSuite_NEW.test_addEdgeWt(TestSuite_NEW.java:300)	CONNECTED, NUMBER, UNDIRECTED
tests.TestSuite_NEW.test_addEdgeWt(TestSuite_NEW.java:300)	NUMBER, UNDIRECTED
tests.TestSuite_NEW.test_addEdgeWt(TestSuite_NEW.java:300)	UNDIRECTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:342)	CONNECTED, MSTKRUSKAL, NUMBER, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:342)	CONNECTED, MSTPRIM, NUMBER, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:342)	CONNECTED, NUMBER, UNDIRECTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:342)	CONNECTED, MSTPRIM, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:342)	CONNECTED, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:342)	CONNECTED, MSTKRUSKAL, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:342)	CONNECTED, NUMBER, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:342)	DIRECTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:342)	UNDIRECTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:342)	NUMBER, UNDIRECTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:342)	CONNECTED, UNDIRECTED
tests.TestSuite_NEW.test_bftNodeSearch(TestSuite_NEW.java:342)	DIRECTED, NUMBER
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:109)	BFS, DIRECTED, NUMBER, SEARCH, SHORTEST, WEIGHTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:109)	BFS, DIRECTED, SEARCH, SHORTEST, WEIGHTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:109)	DIRECTED, NUMBER, SHORTEST, WEIGHTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:109)	DIRECTED, SHORTEST, WEIGHTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:112)	DIRECTED, NUMBER, WEIGHTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:112)	CONNECTED, UNDIRECTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:112)	DIRECTED, NUMBER
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:112)	BFS, DIRECTED, SEARCH
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:112)	DIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:112)	NUMBER, UNDIRECTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:112)	BFS, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:112)	UNDIRECTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:112)	BFS, CONNECTED, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:112)	CONNECTED, NUMBER, UNDIRECTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:112)	BFS, SEARCH, UNDIRECTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:112)	CONNECTED, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:112)	DIRECTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:112)	BFS, DIRECTED, SEARCH, WEIGHTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:112)	BFS, CONNECTED, SEARCH, UNDIRECTED
