Test	Confs. (features enabled)
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:105)	BFS, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:105)	BFS, DIRECTED, NUMBER, SEARCH
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:105)	BFS, NUMBER, SEARCH, UNDIRECTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:105)	BFS, DIRECTED, NUMBER, SEARCH, WEIGHTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:105)	BFS, DIRECTED, SEARCH, SHORTEST, WEIGHTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:105)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:105)	BFS, CONNECTED, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:105)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:162)	MSTKRUSKAL, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:162)	BFS, NUMBER, SEARCH, UNDIRECTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:162)	BFS, CONNECTED, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:162)	CONNECTED, MSTKRUSKAL, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:162)	CONNECTED, MSTPRIM, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:162)	BFS, DIRECTED, NUMBER, SEARCH, SHORTEST, WEIGHTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:162)	MSTKRUSKAL, NUMBER, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:162)	BFS, CONNECTED, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:162)	MSTPRIM, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:162)	BFS, CONNECTED, SEARCH, UNDIRECTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:162)	BFS, DIRECTED, NUMBER, SEARCH, WEIGHTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:162)	BFS, CONNECTED, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:162)	BFS, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:162)	BFS, DIRECTED, NUMBER, SEARCH
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:162)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:162)	BFS, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:162)	CONNECTED, MSTPRIM, NUMBER, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:162)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:162)	BFS, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:162)	CONNECTED, MSTKRUSKAL, NUMBER, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:162)	BFS, MSTKRUSKAL, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:162)	BFS, CONNECTED, MSTKRUSKAL, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:162)	BFS, CONNECTED, MSTKRUSKAL, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:162)	MSTPRIM, NUMBER, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:162)	BFS, MSTKRUSKAL, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run3(TestSuite_NEW.java:207)	BFS, DIRECTED, NUMBER, SEARCH
tests.TestSuite_NEW.test_run3(TestSuite_NEW.java:207)	BFS, CONNECTED, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run3(TestSuite_NEW.java:207)	BFS, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run3(TestSuite_NEW.java:207)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run3(TestSuite_NEW.java:207)	BFS, DIRECTED, NUMBER, SEARCH, WEIGHTED
tests.TestSuite_NEW.test_run3(TestSuite_NEW.java:207)	BFS, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run3(TestSuite_NEW.java:207)	BFS, CONNECTED, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run3(TestSuite_NEW.java:207)	BFS, CONNECTED, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run3(TestSuite_NEW.java:207)	BFS, NUMBER, SEARCH, UNDIRECTED
tests.TestSuite_NEW.test_run3(TestSuite_NEW.java:207)	BFS, CONNECTED, SEARCH, UNDIRECTED
tests.TestSuite_NEW.test_run3(TestSuite_NEW.java:207)	BFS, CONNECTED, MSTKRUSKAL, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run3(TestSuite_NEW.java:207)	BFS, DIRECTED, NUMBER, SEARCH, SHORTEST, WEIGHTED
tests.TestSuite_NEW.test_run3(TestSuite_NEW.java:207)	BFS, MSTKRUSKAL, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run3(TestSuite_NEW.java:207)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED
tests.TestSuite_NEW.test_run3(TestSuite_NEW.java:207)	BFS, CONNECTED, MSTKRUSKAL, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	BFS, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	BFS, DIRECTED, NUMBER, SEARCH, SHORTEST, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	CONNECTED, MSTKRUSKAL, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	MSTPRIM, NUMBER, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	BFS, CONNECTED, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	BFS, MSTKRUSKAL, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	BFS, CONNECTED, MSTKRUSKAL, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	BFS, NUMBER, SEARCH, UNDIRECTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	CONNECTED, NUMBER, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	DIRECTED, NUMBER, SHORTEST, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	BFS, CONNECTED, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	BFS, SEARCH, UNDIRECTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	BFS, DIRECTED, NUMBER, SEARCH, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	DIRECTED, NUMBER, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	BFS, CONNECTED, SEARCH, UNDIRECTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	BFS, DIRECTED, SEARCH
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	CONNECTED, MSTKRUSKAL, NUMBER, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	DIRECTED, SHORTEST, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	CONNECTED, MSTPRIM, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	CONNECTED, MSTPRIM, NUMBER, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	BFS, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	BFS, DIRECTED, SEARCH, SHORTEST, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	BFS, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	MSTKRUSKAL, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	BFS, CONNECTED, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	NUMBER, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	BFS, DIRECTED, SEARCH, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	BFS, DIRECTED, NUMBER, SEARCH
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	BFS, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	MSTKRUSKAL, NUMBER, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	DIRECTED, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	BFS, CONNECTED, MSTKRUSKAL, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_StrongComps(TestSuite_NEW.java:253)	MSTPRIM, UNDIRECTED, WEIGHTED
